"anonym_id","research_stage","research_stage_feeling_cause"
1383,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1384,"",""
1385,"Revisions",""
1386,"",""
1387,"Preparations (IRB permit, preregistration, experiment preparations)","fear, being the main cause the uncertainty"
1388,"",""
1389,"Report writing","I love the research that I do and am always fascinated by the data. I do find beginning to write a challenge, especially when I am trying to map my arguments. Once I have the plan on paper and can start to work with my data, I feel a real sense of satisfaction."
1390,"Preparations (IRB permit, preregistration, experiment preparations)","Frustration about buraucracy and the feeling of ""inventing"" or ""adapting"" research questions to get money"
1391,"Revisions",""
1392,"Report writing","procrastination and high work load"
1393,"",""
1394,"Data collection",""
1395,"",""
1396,"Waiting for journal's response and revisions","Relief - because the paper was still with the journal which means it is ongoing peer review even though it is slow."
1397,"Preparations (IRB permit, preregistration, experiment preparations)",""
1398,"Report writing","Exiting research findings"
1399,"Project genesis/ first thoughts/ idea creation","The most intense feeling during this stage was strong interest, arising from developing the research idea and shaping it into a viable project with clear questions and methods. This phase was intellectually engaging and motivating. Alongside this, I experienced frustration and low-level anger linked to structural aspects of the research funding system, particularly the low proportion of projects that ultimately receive funding. This generated a sense of tension between the effort and creativity invested in project development and the limited likelihood of success, though these feelings were secondary to overall engagement with the research process."
1400,"Preparations (IRB permit, preregistration, experiment preparations)","joy"
1401,"Waiting for journal's response and revisions",""
1402,"Project genesis/ first thoughts/ idea creation","I would be happy if this project will progress because it is based on a model I established previously"
1403,"Data collection",""
1404,"Data collection",""
1405,"",""
1406,"Data collection",""
1407,"Project genesis/ first thoughts/ idea creation",""
1408,"Data collection",""
1409,"Report writing",""
1410,"Waiting for journal's response and revisions",""
1411,"Data analysis",""
1412,"Data analysis",""
1413,"Report writing",""
1414,"Data collection",""
1415,"",""
1416,"Report writing","Pride to have reached the end of the project and have findings. The emotions which are not here but which was also prevalent was boredom and annoyance cutting the article to the correct length and the work of getting it submitted."
1417,"Data collection",""
1418,"Data collection",""
1419,"",""
1420,"",""
1421,"Data analysis",""
1422,"",""
1423,"",""
1424,"Waiting for journal's response and revisions",""
1425,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1426,"Data collection",""
1427,"Post-project stage (the project has received a decision (accepted or rejected). At this point, it is either concluded or being revised and prepared for submission to another venue)",""
1428,"",""
1429,"",""
1430,"",""
1431,"Revisions",""
1432,"",""
1433,"",""
1434,"",""
1435,"Project genesis/ first thoughts/ idea creation",""
1436,"",""
1437,"",""
1438,"Waiting for journal's response and revisions","I am content with the situation as it is. This does not depend of acceptance or reject of a ms."
1439,"",""
1440,"Data analysis",""
1441,"Data analysis",""
1442,"",""
1443,"",""
1444,"",""
1445,"Data analysis",""
1446,"",""
1447,"Reality check (e.g., literature search, consultation with colleagues)","Amusement and joy of starting a new reserach and exploring all options"
1448,"",""
1449,"Revisions","It's been hard to deal with quite unrespectful peer review comments (eg; on a qualitative paper by a peer referee with clearly a quantitative research paradigm in mind) and having to justify myself and my work."
1450,"Project genesis/ first thoughts/ idea creation",""
1451,"",""
1452,"Data collection",""
1453,"",""
1454,"",""
1455,"Project genesis/ first thoughts/ idea creation",""
1456,"Reality check (e.g., literature search, consultation with colleagues)",""
1457,"",""
1458,"",""
1459,"Data analysis","I was talked in to take on the project by my research leader, as the researcher responsible for this left our group. Generally this project is outside my scope of interest - while I can do it with my hands tied behind my back, I have no real interest in its findings. "
1460,"Data collection",""
1461,"Report writing",""
1462,"",""
1463,"",""
1464,"Preparations (IRB permit, preregistration, experiment preparations)",""
1465,"",""
1466,"Waiting for journal's response and revisions",""
